"Title","Gross Domestic Product: Quarter on Quarter growth: CVM SA %"
"CDID","IHYQ"
"Source dataset ID","PN2"
"PreUnit",""
"Unit","%"
"Release date","12-02-2026"
"Next release","31 March 2026"
"Important notes",""
"1955 Q2","0.1"
"1955 Q3","1.7"
"1955 Q4","-0.6"
"1956 Q1","1.2"
"1956 Q2","-0.1"
"1956 Q3","-0.1"
"1956 Q4","0.6"
"1957 Q1","1.8"
"1957 Q2","0.0"
"1957 Q3","-0.6"
"1957 Q4","0.3"
"1958 Q1","2.1"
"1958 Q2","-2.5"
"1958 Q3","2.2"
"1958 Q4","0.3"
"1959 Q1","0.6"
"1959 Q2","1.6"
"1959 Q3","2.1"
"1959 Q4","2.5"
"1960 Q1","2.5"
"1960 Q2","-0.7"
"1960 Q3","1.5"
"1960 Q4","0.5"
"1961 Q1","1.7"
"1961 Q2","0.4"
"1961 Q3","-0.5"
"1961 Q4","-0.2"
"1962 Q1","0.5"
"1962 Q2","0.9"
"1962 Q3","0.6"
"1962 Q4","-0.4"
"1963 Q1","0.5"
"1963 Q2","4.3"
"1963 Q3","0.4"
"1963 Q4","2.3"
"1964 Q1","0.7"
"1964 Q2","1.9"
"1964 Q3","0.3"
"1964 Q4","1.6"
"1965 Q1","-0.3"
"1965 Q2","0.1"
"1965 Q3","0.8"
"1965 Q4","0.6"
"1966 Q1","0.2"
"1966 Q2","0.6"
"1966 Q3","0.3"
"1966 Q4","-0.4"
"1967 Q1","1.3"
"1967 Q2","1.4"
"1967 Q3","0.4"
"1967 Q4","0.5"
"1968 Q1","3.7"
"1968 Q2","-0.4"
"1968 Q3","1.9"
"1968 Q4","0.3"
"1969 Q1","-0.2"
"1969 Q2","0.7"
"1969 Q3","0.6"
"1969 Q4","0.5"
"1970 Q1","-0.6"
"1970 Q2","2.4"
"1970 Q3","1.0"
"1970 Q4","0.9"
"1971 Q1","-0.5"
"1971 Q2","1.8"
"1971 Q3","1.7"
"1971 Q4","0.4"
"1972 Q1","0.2"
"1972 Q2","2.6"
"1972 Q3","0.3"
"1972 Q4","1.6"
"1973 Q1","4.9"
"1973 Q2","0.2"
"1973 Q3","-0.9"
"1973 Q4","-0.4"
"1974 Q1","-2.8"
"1974 Q2","1.4"
"1974 Q3","0.6"
"1974 Q4","-1.5"
"1975 Q1","0.0"
"1975 Q2","-1.6"
"1975 Q3","-0.3"
"1975 Q4","1.1"
"1976 Q1","1.7"
"1976 Q2","-0.1"
"1976 Q3","1.2"
"1976 Q4","2.1"
"1977 Q1","0.1"
"1977 Q2","-0.7"
"1977 Q3","0.6"
"1977 Q4","1.7"
"1978 Q1","0.9"
"1978 Q2","1.1"
"1978 Q3","1.4"
"1978 Q4","0.9"
"1979 Q1","-0.3"
"1979 Q2","4.4"
"1979 Q3","-2.2"
"1979 Q4","1.0"
"1980 Q1","-1.0"
"1980 Q2","-2.0"
"1980 Q3","-0.1"
"1980 Q4","-1.0"
"1981 Q1","-0.1"
"1981 Q2","0.3"
"1981 Q3","1.2"
"1981 Q4","0.1"
"1982 Q1","0.2"
"1982 Q2","1.0"
"1982 Q3","0.2"
"1982 Q4","0.7"
"1983 Q1","2.0"
"1983 Q2","0.7"
"1983 Q3","1.2"
"1983 Q4","0.8"
"1984 Q1","0.9"
"1984 Q2","-1.0"
"1984 Q3","0.7"
"1984 Q4","1.8"
"1985 Q1","1.0"
"1985 Q2","2.1"
"1985 Q3","0.0"
"1985 Q4","0.1"
"1986 Q1","1.0"
"1986 Q2","0.9"
"1986 Q3","0.6"
"1986 Q4","1.9"
"1987 Q1","0.7"
"1987 Q2","1.5"
"1987 Q3","2.5"
"1987 Q4","1.2"
"1988 Q1","1.6"
"1988 Q2","0.5"
"1988 Q3","1.2"
"1988 Q4","0.8"
"1989 Q1","0.5"
"1989 Q2","0.6"
"1989 Q3","0.2"
"1989 Q4","0.0"
"1990 Q1","0.5"
"1990 Q2","0.7"
"1990 Q3","-1.1"
"1990 Q4","-0.5"
"1991 Q1","-0.5"
"1991 Q2","-0.1"
"1991 Q3","-0.2"
"1991 Q4","0.1"
"1992 Q1","0.0"
"1992 Q2","-0.2"
"1992 Q3","0.5"
"1992 Q4","0.8"
"1993 Q1","0.5"
"1993 Q2","0.4"
"1993 Q3","0.9"
"1993 Q4","0.7"
"1994 Q1","1.0"
"1994 Q2","0.9"
"1994 Q3","1.0"
"1994 Q4","0.4"
"1995 Q1","0.5"
"1995 Q2","0.2"
"1995 Q3","1.1"
"1995 Q4","0.3"
"1996 Q1","0.7"
"1996 Q2","0.3"
"1996 Q3","0.9"
"1996 Q4","1.3"
"1997 Q1","1.6"
"1997 Q2","1.1"
"1997 Q3","0.9"
"1997 Q4","1.5"
"1998 Q1","0.7"
"1998 Q2","0.6"
"1998 Q3","0.2"
"1998 Q4","0.7"
"1999 Q1","0.7"
"1999 Q2","0.4"
"1999 Q3","1.7"
"1999 Q4","1.6"
"2000 Q1","1.3"
