Name,Type,Price,Support,Experience,Surface,Midsole Drop(mm),Weight(g),High Arch,Medium Arch,Flat Arch,Segmented Crash Pad,DNA LOFT,BioMoGo DNA,3D Fit Print,DNA AMP,GuideRails,DNA Midsole,Ballistic Rock Shield,Gore-Tex,DNA Flash,Rapid Roll,DNA ZERO,Super DNA
Levitate 4,Men's,150,Neutral,Energize,Road,8,292,Yes,Yes,,,,,,Yes,,,,,,,,
PureFlow 7,Men's,90,Neutral,Connect,Road,4,252.3,Yes,Yes,,,,Yes,,,,Yes,,,,,,
PureGrit 8,Men's,78,Neutral,Connect,Trail,4,263.7,Yes,Yes,,,,Yes,,,,,,,,,,
Ravenna 11,Men's,110,Support,Speed,Road,10,266.5,,Yes,Yes,,,Yes,,,Yes,,,,,,,
Revel 4,Men's,100,Neutral,Energize,Road,8,252.3,Yes,Yes,,,,Yes,,,,,,,,,,
Ricochet 2,Men's,120,Neutral,Energize,Road,8,275,Yes,Yes,,,,Yes,,Yes,,,,,,,,
Ricochet 2 LE,Men's,120,Neutral,Energize,Road,8,275,Yes,Yes,,,,Yes,,,,,,,,,,
Transcend 7,Men's,160,Support,Cushion,Road,10,303.3,,Yes,Yes,,Yes,,,,Yes,,,,,,,
Ghost 13,Women's,130,Neutral,Cushion,Road,12,249.5,Yes,Yes,,Yes,Yes,,,,,,,,,,,
Adrenaline GTS 20,Women's,130,Support,Cushion,Road,12,266.5,Yes,Yes,,,Yes,Yes,,,Yes,,,,,,,
Revel 4,Women's,100,Neutral,Energize,Road,8,224,Yes,Yes,,,,Yes,,,,,,,,,,
Glycerin 18,Women's,150,Neutral,Cushion,Road,10,255.1,Yes,Yes,,,Yes,,Yes,,,,,,,,,
Levitate 4,Women's,150,Neutral,Energize,Road,8,260.8,Yes,Yes,,,,,,Yes,,,,,,,,
Bedlam 3,Women's,150,Support,Energize,Road,8,269.3,Yes,Yes,,,,,,Yes,Yes,,,,,,,
Addiction 14,Women's,130,Max Support,Cushion,Road,12,323.2,,Yes,Yes,,,Yes,,,,,,,,,,
PureFlow 7,Women's,90,Neutral,Connect,Road,4,212.6,Yes,Yes,,,,Yes,,,,Yes,,,,,,
Ravenna 11,Women's,110,Support,Speed,Road,10,238.1,,Yes,Yes,,,Yes,,,Yes,,,,,,,
Transcend 7,Women's,160,Support,Cushion,Road,10,269.3,,Yes,Yes,,Yes,,,,Yes,,,,,,,
Ricochet 2,Women's,120,Neutral,Energize,Road,8,238.1,Yes,Yes,,,,Yes,,Yes,,,,,,,,
